Surface,TypeName,Comment,Radius,Thickness,Material,SemiDiameter,Conic,A2,A4,A6,A8,A10,A12,A14,A16
0,Standard,,Inf,Inf,"",Inf,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,Standard,,143.37,7,"1.52,64.2",106.5,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,Standard,,52.5000000000001,28,"",52.3,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,Standard,,76.4,3,"1.52,64.2",50,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,Standard,,31.521,21.8,"",30.5,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,Standard,,150,3,"1.52,64.2",28,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,Standard,,17.1,16.5,"",16.5,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,Standard,,-59.9999999999999,7,"1.62,60.3",16,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,Standard,,22.625,0.6,"",14,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,Standard,,23.9,12.6,"1.73,28.3",14,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,Standard,,78.9880000000002,25,"",13.5,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,Standard,,Inf,1.8,"1.52,0.0",10,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,Standard,,Inf,2.8,"",10,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,Standard,,278.333,3,"1.65,33.8",10,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,Standard,,-185.42,0.1,"",10,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,Standard,,52.0299999999999,7,"1.53,55.4",10,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,Standard,,-28.5,2,"1.77,49.5",10,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,Standard,,-76.9999999999999,4.6,"",10,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,Standard,,Inf,8.4,"",7.675,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,Standard,,45,8,"1.52,59.0",10,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,Standard,,-14.4,0.6,"1.80,40.8",10,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,Standard,,-34.5,0.1,"",10,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,Standard,,-110,1,"1.72,29.5",10,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,Standard,,35,3.5,"1.52,64.2",10,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,Standard,,-25.763,37.657,"",10,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,Standard,,Inf,Inf,"",11.61,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
